file,line,variables,total
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",14,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;next;password;req;res;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",15,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;next;password;req;res;userModel;userService;validationResult",12
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",16,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",17,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",18,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",19,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",20,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",21,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;isUserAlready;next;password;req;res;userModel;userService;validationResult",13
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",22,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",23,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;userModel;userService;validationResult",14
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",24,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",25,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",26,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",27,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",28,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",29,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",30,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;user;userModel;userService;validationResult",15
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",31,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;token;user;userModel;userService;validationResult",16
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",32,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;token;user;userModel;userService;validationResult",16
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",33,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;token;user;userModel;userService;validationResult",16
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",34,"blackListTokenModel;blacklistTokenModel;email;errors;fullname;hashedPassword;isUserAlready;next;password;req;res;token;user;userModel;userService;validationResult",16
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",35,"blackListTokenModel;blacklistTokenModel;userModel;userService;validationResult",5
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",36,"blackListTokenModel;blacklistTokenModel;next;req;res;userModel;userService;validationResult",8
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",37,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",38,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",39,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
"/Users/pranjal/Desktop/Projects/UBER/Backend/controllers/user.controller.js",40,"blackListTokenModel;blacklistTokenModel;errors;next;req;res;userModel;userService;validationResult",9
